file,line,tag,hasHover,hasFocusRing,hasDisabledStyle,optedOutOfPress
"app/(app)/admin/mapping/families/confirm/page.tsx",205,button,True,False,False,False
"app/(app)/admin/mapping/families/confirm/page.tsx",216,Link,True,False,False,False
"app/(app)/admin/mapping/families/page.tsx",200,button,True,False,False,False
"app/(app)/admin/mapping/op-codes/page.tsx",148,button,True,False,False,False
"app/(app)/admin/mapping/op-codes/page.tsx",181,button,True,False,False,False
"app/(app)/admin/mapping/page.tsx",91,Link,False,False,False,False
"app/(app)/admin/page.tsx",61,Link,True,True,False,False
"app/(app)/admin/pricing/page.tsx",110,button,True,True,False,False
"app/(app)/group/page.tsx",91,Link,False,False,False,False
"app/(app)/island-time/page.tsx",145,Link,False,False,False,False
"app/(app)/joe-the-pro/[make]/page.tsx",100,Link,True,True,False,False
"app/(app)/joe-the-pro/[make]/page.tsx",129,Link,True,True,False,False
"app/(app)/library/[course]/page.tsx",44,Link,True,True,False,False
"app/(app)/library/m/[module]/quiz/page.tsx",82,Link,True,True,False,False
"app/(app)/library/m/[module]/quiz/page.tsx",136,Link,True,True,False,False
"app/(app)/library/m/[module]/quiz/page.tsx",195,Link,True,True,False,False
"app/(app)/library/m/[module]/quiz/page.tsx",203,Link,True,True,False,False
"app/(app)/library/m/[module]/quiz/page.tsx",258,button,True,True,False,False
"app/(app)/library/page.tsx",55,Link,True,True,False,False
"app/(app)/manager/page.tsx",277,Link,True,True,False,False
"app/(app)/manager/page.tsx",314,Link,False,False,False,False
"app/(app)/meetings/page.tsx",141,Link,True,True,False,False
"app/(app)/meetings/page.tsx",165,Link,True,True,False,False
"app/(app)/more/page.tsx",146,button,True,True,False,False
"app/(app)/more/page.tsx",175,Link,True,True,False,False
"app/(app)/notifications/page.tsx",77,button,True,True,False,False
"app/(app)/notifications/page.tsx",120,a,True,True,False,False
"app/(app)/notifications/page.tsx",159,button,True,True,False,False
"app/(app)/profile/page.tsx",206,Link,True,True,False,False
"app/(app)/profile/page.tsx",245,button,True,True,False,False
"app/(app)/sand-dollars/page.tsx",94,Link,True,True,False,False
"app/(app)/sand-dollars/page.tsx",134,Link,True,True,False,False
"app/(app)/sand-dollars/page.tsx",150,Link,True,True,False,False
"app/(app)/streak/paddle-out/page.tsx",62,Link,True,True,False,False
"app/(app)/streak/page.tsx",86,Link,True,False,False,False
"app/(app)/streak/page.tsx",101,Link,True,True,False,False
"app/(app)/streak/page.tsx",161,Link,True,True,False,False
"app/(app)/streak/page.tsx",184,Link,True,True,False,False
"components/admin/AdminPageHeader.tsx",59,Link,True,False,False,False
"components/admin/AdminSearch.tsx",47,Link,True,True,False,False
"components/admin/AdminSearch.tsx",78,button,True,True,False,False
"components/admin/DistributionDonut.tsx",122,Link,True,True,False,False
"components/admin/DistributionDonut.tsx",150,Link,False,False,False,False
"components/admin/EngagementList.tsx",79,Link,True,True,False,False
"components/admin/EngagementList.tsx",127,Link,True,True,False,False
"components/admin/ImpactV2.tsx",440,Link,False,False,False,False
"components/admin/ImpactV2.tsx",455,Link,False,True,False,False
"components/admin/RoiPieces.tsx",255,button,True,True,False,False
"components/admin/RollupStamp.tsx",38,button,True,True,False,False
"components/admin/TypedConfirm.tsx",63,button,True,False,True,False
"components/admin/content/ContentDetail.tsx",138,a,False,False,False,False
"components/admin/content/ContentDetail.tsx",527,Link,False,False,False,False
"components/admin/content/ContentDetail.tsx",714,Link,False,False,False,False
"components/admin/content/ContentEditor.tsx",298,button,True,True,True,False
"components/admin/content/ContentEditor.tsx",307,button,True,True,True,False
"components/admin/content/ContentResultRow.tsx",26,Link,True,True,False,False
"components/admin/content/ContentSearchBar.tsx",90,button,True,True,False,False
"components/admin/content/ContentSearchBar.tsx",101,button,True,True,False,False
"components/admin/content/DuplicateGroupCard.tsx",127,a,False,False,False,False
"components/admin/content/ReviewItem.tsx",83,a,False,False,False,False
"components/admin/content/ReviewItem.tsx",165,button,True,False,True,False
"components/admin/content/TwinProposalCard.tsx",49,a,False,False,False,False
"components/admin/content/TwinProposalCard.tsx",69,a,False,False,False,False
"components/admin/dms/DmsUploader.tsx",309,button,True,True,True,False
"components/admin/dms/DmsUploader.tsx",317,button,True,False,True,False
"components/admin/dms/DmsUploader.tsx",356,button,True,True,True,False
"components/admin/settings/GameSettingsForm.tsx",106,button,True,True,True,False
"components/admin/swag/SwagAdmin.tsx",414,button,True,False,True,False
"components/admin/swag/SwagAdmin.tsx",421,button,False,False,False,False
"components/advisor/PitchDialog.tsx",130,button,True,True,False,False
"components/advisor/PitchDialog.tsx",189,button,True,True,False,False
"components/advisor/ServiceList.tsx",176,button,True,True,False,False
"components/badges/BadgeGrid.tsx",108,button,True,True,False,False
"components/badges/BadgeGrid.tsx",232,button,True,True,False,False
"components/brand/Modal.tsx",84,button,True,True,False,False
"components/brand/StatusDot.tsx",95,button,True,True,False,False
"components/daily/DailyFlow.tsx",625,button,True,True,False,False
"components/daily/DailyFlow.tsx",1497,button,False,False,False,True
"components/daily/DailyFlow.tsx",1623,button,False,False,False,False
"components/daily/DailyFlow.tsx",1649,button,True,True,False,False
"components/daily/SaveHeart.tsx",67,button,False,False,True,False
"components/library/CoursePieces.tsx",42,Link,True,True,False,False
"components/library/CueDeck.tsx",829,Link,True,True,False,False
"components/library/CueDeck.tsx",837,Link,True,True,False,False
"components/library/CueDeck.tsx",859,Link,True,True,False,False
"components/library/CueDeck.tsx",887,Link,True,True,False,False
"components/library/CueDeck.tsx",907,Link,True,True,False,False
"components/library/CueDeck.tsx",944,button,True,True,True,False
"components/library/LibraryPieces.tsx",176,button,True,True,False,False
"components/library/LibraryPieces.tsx",200,Link,True,True,False,False
"components/nav/AppHeader.tsx",66,Link,False,True,False,False
"components/nav/AppHeader.tsx",90,Link,True,True,False,False
"components/nav/AppHeader.tsx",124,Link,True,True,False,False
"components/nav/TabBar.tsx",114,Link,False,True,False,False
"components/notifications/PushSelfTest.tsx",85,button,True,False,True,False
"components/notifications/SoftAsk.tsx",116,button,True,False,True,False
"components/notifications/SoftAsk.tsx",124,button,True,False,True,False
"components/onboarding/OnboardingFlow.tsx",178,button,False,True,False,False
"components/onboarding/OnboardingFlow.tsx",189,button,True,True,False,False
"components/onboarding/WelcomeGift.tsx",111,button,True,True,False,False
"components/schedule/IslandTimePanel.tsx",204,button,True,False,True,False
"components/schedule/ScheduleForm.tsx",107,button,True,True,True,False
"components/schedule/ScheduleForm.tsx",279,button,True,True,False,False
"components/schedule/ScheduleForm.tsx",306,button,True,True,False,False
"components/swag/SwagShack.tsx",157,button,True,True,False,False
"components/swag/SwagShack.tsx",328,button,True,False,True,False
"components/swag/SwagShack.tsx",354,button,True,False,False,False
"components/swag/SwagShack.tsx",442,button,True,False,True,False
