video_id,video_title,voice,canonical_filename,best_quote_id,best_quote_text,score,tier,runner_up_quote_id,runner_up_score,flag,decision
66d633b5-8d4d-409a-a51a-8245ffb4d35b,Create the Life You Can't Wait to Wake Up To,Mitch Hardt,MINDSET — Create the Life You Can't Wait to Wake Up To — v1.mov,,,,none,,,none,
6ac8ff68-b979-43f3-8a72-e32c0feb0e89,Wall Street,Warren Buffett,MINDSET — Wall Street (Buffett) — v1.mov,Q0479,Wall Street is the only place that people ride to work in a Rolls Royce to get advice from those who take the subway.,1.000,A,,,none,
6c13d7a5-c927-44ae-9bff-3a5cebc182a4,The Money Mindset,Mitch Hardt,MINDSET — The Money Mindset — v1.mov,,,,none,,,none,
704a5728-23e1-444d-b724-7b8888e54e77,Your Toughest Opponent Is Staring at You,Mitch Hardt,MINDSET — Your Toughest Opponent Is Staring at You — v1.mov,,,,none,,,none,
72cd1340-4f14-42cf-9787-2b7bbfd43ae8,The Mamba Mentality,Kobe Bryant,MINDSET — The Mamba Mentality (Kobe) — v1.mov,Q0094,The Mamba Mentality simply means trying to be the best version of yourself. Every day you're trying to become better — i,1.000,A,Q0116,1.000,none,
7a47f2f6-c0d4-45e1-af1f-23b798c29c55,Decide What to Do With the Time Given,Mitch Hardt,MINDSET — Decide What to Do With the Time Given — v1.mov,,,,none,,,none,
7dd07772-4e47-4513-924b-3f05ad399bae,"Discipline, Addictive Discipline, Obsession",Mitch Hardt,"MINDSET — Discipline, Addictive Discipline, Obsession — v1.mov",,,,none,,,none,
7ef0a9de-0abe-469f-b64e-76cbe4f34c81,Build the Habits You Admire,Warren Buffett,MINDSET — Build the Habits You Admire (Buffett) — v1.mov,Q0489,Develop and build the habits you admire in others.,1.000,A,,,none,
801aa254-a12f-4448-9d15-a07ac9e486e1,Never Lose Money,Warren Buffett,MINDSET — Never Lose Money (Buffett) — v1.mov,Q0469,Rule #1: Never lose money. Rule #2: Never forget rule #1.,1.000,A,,,none,
818eb449-fb61-4357-9c0d-7446adac041b,Start Today,Mitch Hardt,MINDSET — Start Today — v1.mov,,,,none,,,none,
8457eb59-ec58-49fa-a770-0bc864efa634,Be Better Than That,Mitch Hardt,MINDSET — Be Better Than That — v1.mov,Q0222,Be better than that.,1.000,A,Q0308,1.000,none,
84b33595-e671-4e53-ba8e-45e0e3291b82,Always Keep Going,Kobe Bryant,MINDSET — Always Keep Going (Kobe) — v1.mov,Q0108,"Always keep going. The storm eventually ends — and when it does, you want to make sure you are ready.",1.000,A,Q0073,1.000,none,
879d053c-1537-4ca6-b75d-7898a888648a,Owning Portions of Businesses,Warren Buffett,MINDSET — Owning Portions of Businesses (Buffett) — v1.mov,Q0474,"When we own portions of outstanding businesses with outstanding managements, our favorite holding period is forever.",0.667,C,,,none,
92c0137c-751e-4e7b-8f0d-ffe9ca23970d,Choices,Mitch Hardt,MINDSET — Choices — v1.mov,,,,none,,,none,
995686c1-4a3f-45c6-bf30-1b5f71c27888,The Lowest Point Is the Doorway,Alan Watts,MINDSET — The Lowest Point Is the Doorway (Watts) — v1.mov,,,,none,,,none,
9b914935-bf90-4eec-8e4c-9b7522454106,Doubt Is a Strange Thing,Kobe Bryant,MINDSET — Doubt Is a Strange Thing (Kobe) — v1.mov,,,,none,,,none,
9ce47ebc-86f9-4ac6-a1c6-c44d537f49d9,Successful vs. Really Successful,Warren Buffett,MINDSET — Successful vs. Really Successful (Buffett) — v1.mov,Q0473,The difference between successful people and really successful people is that really successful people say no to almost ,0.667,C,,,none,
9eef4b4f-2fa2-46f2-95a7-dbedf4f5a8bc,Carpe Diem,Mitch Hardt,MINDSET — Carpe Diem — v1.mov,,,,none,,,none,
9fd634f3-82af-4e04-a250-a9ed85fec4bb,Buffalos and the Cows,Mitch Hardt,MINDSET — Buffalos and the Cows — v1.mov,,,,none,,,none,
a0d34297-be7b-4e9e-a4b4-dbad3625b29f,"Print Money, Not Time",Mitch Hardt,"MINDSET — Print Money, Not Time — v1.mov",,,,none,,,none,
a2f38fd9-6b65-4e22-9d8b-d2b6b38e6f33,Nick Saban's 3 Rules,Mitch Hardt,MINDSET — Nick Saban's 3 Rules — v1.mov,,,,none,,,none,
a573a024-1856-4923-8d6c-dc1b81fc69b4,I Looked in Your Cup,Mitch Hardt,MINDSET — I Looked in Your Cup — v1.mov,Q0311,I looked in your cup to see if you have enough. You looked in mine to check if I had more than you. That difference is e,1.000,A,Q0362,1.000,none,
ad521817-19fb-4bea-bf9b-1b137f609380,Promise Yourself,Mitch Hardt,MINDSET — Promise Yourself — v1.mov,,,,none,,,none,
c27fc415-66f3-4d65-b3ce-6ebb30e9f4c4,Perish Attempting the Great and Impossible,Mitch Hardt,MINDSET — Perish Attempting the Great and Impossible — v1.mov,,,,none,,,none,
c420f15a-e640-4283-9054-47da0ff20b87,Diversification & Ignorance,Warren Buffett,MINDSET — Diversification & Ignorance (Buffett) — v1.mov,Q0482,Diversification is a protection against ignorance. It makes very little sense for those who know what they're doing.,1.000,B,,,none,
c95e46ba-22d7-414e-8284-76cf924ae7ab,Four Things You Can Stop Doing,Mitch Hardt,MINDSET — Four Things You Can Stop Doing — v1.mov,,,,none,,,none,
cf4336ad-e6f5-4e1b-a66c-a6c7833737a7,Day One or One Day,Mitch Hardt,MINDSET — Day One or One Day — v1.mov,Q0294,The one thing that you control every day is your attitude. How do you go outside and show people that you are the best r,1.000,B,Q0210,1.000,none,
d2f9dc9a-5ae7-443d-86d8-be3ddf61b1d8,Did I Get Better Today?,Kobe Bryant,MINDSET — Did I Get Better Today? (Kobe) — v1.mov,,,,none,,,none,
e25c6fc8-a784-4386-b6d6-0ea415fbaa34,Practice Makes Improvement,Les Brown,MINDSET — Practice Makes Improvement (Les Brown) — v1.mov,,,,none,,,none,
e4d40ca9-0587-48f6-ba40-95a55251ce0c,20 Years to Build a Reputation,Warren Buffett,MINDSET — 20 Years to Build a Reputation (Buffett) — v1.mov,Q0470,"It takes 20 years to build a reputation and five minutes to ruin. If you think about that, you'll do things differently.",1.000,A,,,none,
ed7100c1-dbb6-47b7-97ee-cd70fda58649,"You Fight Great, But I'm a Great Fighter",Mitch Hardt,"MINDSET — You Fight Great, But I'm a Great Fighter — v1.mov",,,,none,,,none,
f9bb2922-5ea1-45d2-97ff-ce7930ef2677,Solving Difficult Problems,Warren Buffett,MINDSET — Solving Difficult Problems (Buffett) — v1.mov,Q0476,Charlie and I have not learned how to solve difficult business problems. What we have learned is to avoid them.,0.667,C,,,none,
